countyname,canonical,n,median_floor_area_m2,pct_masonry,pct_pre1945
Dublin 7,Bungalow,32,93.67,53.125,59.375
Dublin 7,Detached,275,120.29,60.72727272727273,33.81818181818182
Dublin 7,Semi-Detached,1711,104.46,55.34774985388662,33.547632963179424
Dublin 7,Terrace,7052,80.84,60.02552467385139,59.55757231990925
Dublin 8,Apartment,13693,53.47,33.49886803476229,15.840210326444168
Dublin 8,Bungalow,20,55.75,45.0,40.0
Dublin 8,Detached,125,87.56,62.4,55.2
Dublin 8,Semi-Detached,455,90.13,52.74725274725275,59.78021978021978
Dublin 8,Terrace,5404,80.6,55.255366395262776,72.42783123612139
Dublin 9,Apartment,6729,71.42,40.88274632189032,8.203299152920195
Dublin 9,Bungalow,46,79.265,56.52173913043478,26.08695652173913
Dublin 9,Detached,447,130.34,60.62639821029083,19.910514541387027
Dublin 9,Semi-Detached,4916,107.13,48.57607811228641,19.446704637917005
Dublin 9,Terrace,4690,97.035,52.45202558635395,44.02985074626866
Galway City,Apartment,7172,69.35,68.75348577802566,2.426101505856107
Galway City,Bungalow,644,119.924,86.33540372670807,5.900621118012422
Galway City,Detached,3186,171.9725,83.89830508474576,4.23728813559322
Galway City,Semi-Detached,6644,108.84,85.0842865743528,2.6038531005418424
Galway City,Terrace,4071,92.44,77.9906656841071,14.910341439449768
Limerick City,Apartment,6150,67.5,45.51219512195122,10.991869918699187
Limerick City,Bungalow,1504,116.74000000000001,80.58510638297872,17.61968085106383
Limerick City,Detached,3384,168.025,80.7919621749409,16.991725768321515
Limerick City,Semi-Detached,7691,111.29,73.33246651930828,6.046027824730204
Limerick City,Terrace,6651,83.87,68.30551796722297,24.7481581717035
Waterford City,Apartment,3219,60.92,37.713575644610124,17.303510406958683
Waterford City,Bungalow,932,120.845,74.2489270386266,11.802575107296137
Waterford City,Detached,2044,159.625,74.60861056751467,9.148727984344422
Waterford City,Semi-Detached,5273,106.6,73.79101080978569,2.920538592831405
Waterford City,Terrace,4779,80.46,64.86712701401967,32.24523958987236
